NUMERO DE ORDEM       @ANOMES@COD.NCM @DESCRICAO DO CODIGO NCM       @PAIS@PAIS DE ORIGEM      @PAIS@PAIS DE AQUISICAO   @UND.ESTAT.@UNIDADE DE MEDIDA   @UNIDADE COMERC.     @DESCRICAO DO PRODUTO                                                                                                                                                                                                                                      @QTDE ESTATISTICA   @PESO LIQUIDO       @VMLE DOLAR        @VL FRETE DOLAR    @VL SEGURO DOLAR   @VALOR UN.PROD.DOLAR  @QTD COMERCIAL. @TOT.UN.PROD.DOLAR    @UNIDADE DESEMBARQUE           @UNIDADE DESEMBARACO           @INCOTERM@NAT.INFORMACAO @SITUACAO DO DESPACHO               ,,,,,,,,,,,,,,,,,,,,,,,,,,
0000000010530001900005@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@160@CHINA, REPUBLICA POP@249@ESTADOS UNIDOS      @11@UNIDADE             @PECA                @FM4-0956-000 - MOTOR DE PASSO DC                                                                                                                                                                                                                          @           10,00000@           10,00000@             73,02@             77,30@              0,07@            8,3900000@        2,00000@           16,7800000@N/INFORMADO                   @AEROPORTO INTERNACIONAL DE SAO@FCA@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,,,
0000000009960045700001@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@249@ESTADOS UNIDOS      @767@SUICA               @11@UNIDADE             @UNIDADE             @1555783 - MOTOR DE CORRENTE CONTINUA DE POTENCIA NAO SUPERIOR A 37,5W (COM 24W) DO LIMPADOR DE PARABRISA COM TENSAO DE 24V,181,0MM DE COMPRIMENTO X 172,0MM DE ALTURA X 102,6MM DE ESPESSURA, APLICAVEL EM MAQUINAS RODOVIARIAS.                         @            4,00000@           20,98200@           1060,63@              4,85@              0,60@          123,2605396@        1,00000@          123,2605396@N/INFORMADO                   @PIRACICABA                    @CPT@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,
0000000009960045700002@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@249@ESTADOS UNIDOS      @767@SUICA               @11@UNIDADE             @UNIDADE             @2225376 - MOTOR DE ACO DE CORRENTE CONTINUA DE POTENCIA NAO SUPERIOR A 750W DO LIMPADOR DE PARABRISA, TENSAO DE 24V,176,0MM DE COMPRIMENTO X 85,0MM DE LARGURA X 150,0MM DE ALTURA, APLICAVEL EM MAQUINAS RODOVIARIAS.                                   @            4,00000@           20,98200@           1060,63@              4,85@              0,60@           71,6056338@        1,00000@           71,6056338@N/INFORMADO                   @PIRACICABA                    @CPT@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,
0000000009960045700003@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@249@ESTADOS UNIDOS      @767@SUICA               @11@UNIDADE             @UNIDADE             @2457839 - MOTOR ELETRICO DE CORRENTE CONTINUA DE PLASTICO DO CONDICIONADOR DE AR, TENSAO DE 24 V, VELOCIDADE DE 3050 RPM, POTENCIA DE 0,13 KW, DIMENSOES APROXIMADAS DE 138,8 MM DE ALTURA X 194 MM DE DIAMETRO, APLICAVEL EM MAQUINAS RODOVIARIAS.       @            4,00000@           20,98200@           1060,63@              4,85@              0,60@          283,5394239@        1,00000@          283,5394239@N/INFORMADO                   @PIRACICABA                    @CPT@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,
0000000009960045700004@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@249@ESTADOS UNIDOS      @767@SUICA               @11@UNIDADE             @UNIDADE             @3547543 - MOTOR ELETRICO DE CORRENTE CONTINUA 24 V                                                                                                                                                                                                        @            4,00000@           20,98200@           1060,63@              4,85@              0,60@          587,0998955@        1,00000@          587,0998955@N/INFORMADO                   @PIRACICABA                    @CPT@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,,,,
0000000009960045800001@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@249@ESTADOS UNIDOS      @767@SUICA               @11@UNIDADE             @UNIDADE             @2071562 - MOTOR ELETRICO DE ACO DE CORRENTE CONTINUA 24 V, 7643 RPM DE VELOCIDADE NOMINAL,76,5 A DE CORRENTE NOMINAL, 496 MM DE COMPRIMENTO X 174,8 MM DE LARGURA X 248,4 MM DE ALTURA, APLICAVEL EM MAQUINAS RODOVIARIAS.                               @            1,00000@           28,00000@            609,48@              6,47@              0,35@          615,9561386@        1,00000@          615,9561386@N/INFORMADO                   @PIRACICABA                    @CPT@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,
0000000010530001900001@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@160@CHINA, REPUBLICA POP@249@ESTADOS UNIDOS      @11@UNIDADE             @UNIDADE             @MH7-1150-000 MOTOR                                                                                                                                                                                                                                        @           10,00000@           10,00000@             73,02@             77,30@              0,07@           14,6100000@        1,00000@           14,6100000@N/INFORMADO                   @AEROPORTO INTERNACIONAL DE SAO@FCA@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,,,
0000000010530001900002@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@160@CHINA, REPUBLICA POP@249@ESTADOS UNIDOS      @11@UNIDADE             @PECA                @FK2-2069-000 - MOTOR DC                                                                                                                                                                                                                                   @           10,00000@           10,00000@             73,02@             77,30@              0,07@            5,0100000@        2,00000@           10,0200000@N/INFORMADO                   @AEROPORTO INTERNACIONAL DE SAO@FCA@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,,,
0000000010530001900003@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@160@CHINA, REPUBLICA POP@249@ESTADOS UNIDOS      @11@UNIDADE             @PECA                @FK2-7675-000 - MOTOR DE PASSO                                                                                                                                                                                                                             @           10,00000@           10,00000@             73,02@             77,30@              0,07@           15,7300000@        1,00000@           15,7300000@N/INFORMADO                   @AEROPORTO INTERNACIONAL DE SAO@FCA@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,,,
0000000014740000300001@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@160@CHINA, REPUBLICA POP@249@ESTADOS UNIDOS      @11@UNIDADE             @UNIDADE             @129827-L3 - (REPLACEMENT VIBRATION MOTOR FOR BW PORTA) - MOTOR VIBRATORIO DE REPOSICAO PARA DETECTORES DE GAS                                                                                                                                             @            1,00000@            0,02200@              3,46@              0,19@              0,00@            3,4600000@        1,00000@            3,4600000@N/INFORMADO                   @ALF - BELO HORIZONTE          @FCA@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,,,
0000000015660001000001@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@160@CHINA, REPUBLICA POP@160@CHINA, REPUBLICA POP@11@UNIDADE             @PECA                @25357353 - Ex 003 - Motor elétrico de corrente contínua, com rotação máxima de 2648 rpm, corrente máxima de 3,856 A e potência elétrica máxima de 20,87 W. (DA 1701896712-001-1) - Ex 003 - Motor elétrico de corrente contínua, com rotação máxima de 264@          516,00000@          108,87600@           1950,66@              0,69@              0,32@            3,7610000@      516,00000@         1940,6760000@N/INFORMADO                   @PIRACICABA                    @FCA@ADMINISTRATIVA @DI DESEMBARAÇADA                                  ,,,,,,,,,,,
0000000699710000200001@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@160@CHINA, REPUBLICA POP@160@CHINA, REPUBLICA POP@11@UNIDADE             @UNIDADE             @ITEM 003: MOTOR DE VIDRO ELETRICO PARA VEICULO DA MARCA NISSAN - COD: 80731-ED000                                                                                                                                                                         @           50,00000@           27,80000@            325,40@             37,35@              0,00@            7,1300000@       50,00000@          356,5000000@N/INFORMADO                   @PORTO DE VITORIA              @CFR@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,,
0000000704560003000001@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@386@ITALIA              @764@SUECIA              @11@UNIDADE             @Peça                @90045-0162 MOTOR ELETRICO DC 14.3W PEDIDO: 0916643964                                                                                                                                                                                                     @            2,00000@            1,02200@            144,25@              9,16@              0,06@           76,7065989@        2,00000@          153,4131978@N/INFORMADO                   @AEROPORTO INTERNACIONAL DE VIR@CPT@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,,,,
0000000704580001300001@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@160@CHINA, REPUBLICA POP@455@MALASIA             @11@UNIDADE             @Peça                @S938C17056 - MOTOR ELÉTRICO DE CORRENTE CONTÍNUA, PARA POTENCIA NÃO SUPERIOR A 37,5 W(0,255W), DE TENSÃO DE 3V E CORRENTE DE 0,085A, DO TIPO VIBRADOR PARA APARELHO TRANSCEPTOR PORTÁTIL DE TELEFONIA CELULAR,GS-3200                                     @         6000,00000@            7,27800@           2542,20@             54,67@              1,31@            0,4237000@     6000,00000@         2542,2000000@N/INFORMADO                   @AEROPORTO INTERNACIONAL DE VIR@FCA@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,
0000000704500000100001@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@160@CHINA, REPUBLICA POP@455@MALASIA             @11@UNIDADE             @Peça                @S938C17056 - MOTOR ELÉTRICO DE CORRENTE CONTÍNUA, PARA POTENCIA NÃO SUPERIOR A 37,5 W(0,255W), DE TENSÃO DE 3V E CORRENTE DE 0,085A, DO TIPO VIBRADOR PARA APARELHO TRANSCEPTOR PORTÁTIL DE TELEFONIA CELULAR,GS-3200                                     @        10000,00000@           12,13000@           4237,00@            106,67@              2,17@            0,4237000@    10000,00000@         4237,0000000@N/INFORMADO                   @AEROPORTO INTERNACIONAL DE VIR@FCA@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,
0000000704610000700001@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@160@CHINA, REPUBLICA POP@455@MALASIA             @11@UNIDADE             @Peça                @S948C17555 - MOTOR ELÉTRICO DE CORRENTE CONTÍNUA, PARA POTENCIA NÃO SUPERIOR A 37,5 W(0,528W), DE TENSÃO DE 2,4V E CORRENTE DE 0,220A, DO TIPO VIBRADOR PARA APARELHO TRANSCEPTOR PORTÁTIL DE TELEFONIA CELULAR                                           @        87000,00000@          122,32200@          35478,60@            983,46@             18,48@            0,4078000@    87000,00000@        35478,6000000@N/INFORMADO                   @AEROPORTO INTERNACIONAL DE VIR@FCA@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,
0000000704590000100001@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@160@CHINA, REPUBLICA POP@455@MALASIA             @11@UNIDADE             @Peça                @S938C17056 - MOTOR ELÉTRICO DE CORRENTE CONTÍNUA, PARA POTENCIA NÃO SUPERIOR A 37,5 W(0,255W), DE TENSÃO DE 3V E CORRENTE DE 0,085A, DO TIPO VIBRADOR PARA APARELHO TRANSCEPTOR PORTÁTIL DE TELEFONIA CELULAR,GS-3200                                     @        14000,00000@           16,98200@           5931,80@            135,22@              3,02@            0,4237000@    14000,00000@         5931,8000000@N/INFORMADO                   @AEROPORTO INTERNACIONAL DE VIR@FCA@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,
0000000704700000100001@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@160@CHINA, REPUBLICA POP@351@HONG KONG           @11@UNIDADE             @PECAS               @GH31-00695A - MOTOR ELETRICO DE CORRENTE CONTINUA (3VDC/80 MA), COM POTENCIA MAXIMA DE 240MW, VIBRADOR Pedido: 5236816139 Item Seq: 00050 Fatura: 9012026676                                                                                              @         1070,00000@            1,32616@            313,40@             23,00@              0,21@            0,2929000@     1070,00000@          313,4030000@N/INFORMADO                   @AEROPORTO INTERNACIONAL DE SAO@FCA@   EFETIVA     @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,
